ID Toko,Nama Toko,Alamat,Distrik,Distributor 1,Distributor 2,Distributor 3,Nama TSO,Tanggal Pemasangan,File Bukti
180016800,SINAR ABADI,"BUNUT, PESAWARAN REGENCY, LAMPUNG",KABUPATEN PESAWARAN,"TUNAS SURYA BUMINDO, PT",,,Boti,2026-05-06,uploads\IMG_5729.JPG.jpeg
180016988,CAHAYA MULIA BANGUNAN,"JL. PADAT KARYA, TALANG BETUTU, KEC. SUKARAMI, KOTA PALEMBANG, SUMATERA SELATAN 30961",KOTA PALEMBANG,"OKU MAJU PERKASA, PT",,,anjay,2026-05-06,https://drive.google.com/file/d/1zAPzYcqDnzk_yV5e8Y4tMNyOPs0YGiMx/view?usp=drivesdk
180016573,TIGA PUTRI,JL. KOL WAHAB SAROBU  LR. MARNAN 3 SEKARJAYA BATURAJA TIMUR,KABUPATEN OGAN KOMERING ULU,"SINAR ELORA ADIJAYA, PT",,,Johni,2026-05-06,https://drive.google.com/file/d/1aGWVs0maVJbBwtmhQnb8Q_UOsZoGe0Ja/view?usp=drivesdk
180016245,RINI,"TANJUNG AGUNG 2 RT.001/RW.002 DESA TANJUNG AGUNG KECAMATAN KATIBUNG, KAB. LAMPUNG SELATAN",KABUPATEN LAMPUNG SELATAN,KOPERASI KONSUMEN WARGA SEMEN GRESIK,,,Gay Lord,2026-05-06,https://drive.google.com/file/d/17ZMtuhaJlA6wb7ih0R9BylZSls3hAXcO/view?usp=drivesdk
180016575,DEPOT NEGO,JL. KOL WAHAB SOROBU LR. GAJAH PUTIH  AIR PAO,KABUPATEN OGAN KOMERING ULU,"SINAR ELORA ADIJAYA, PT",,,Kroco,2026-05-06,https://drive.google.com/file/d/1fSO6BQWpA4utS22ovgAXJkn193ijXwqL/view?usp=drivesdk
180016990,DOTCOM 2,"JL. MATARAM II, TALANG JAMBE, KEC. SUKARAMI, KOTA PALEMBANG, SUMATERA SELATAN 30961",KOTA PALEMBANG,"OKU MAJU PERKASA, PT",,,Doco,2026-05-06,https://drive.google.com/file/d/1ZJJONCvS_prW9fIHw2Rh3OU43Xw1btsa/view?usp=drivesdk
180016941,"CAHAYA BARU, TB","TABA JEMEKEH, KOTA LUBUKLINGGAU, SUMATERA SELATAN",KOTA LUBUKLINGGAU,"JAYA ABADI KONTRINDO, PT",,,Batu,2026-05-06,https://drive.google.com/file/d/1cm4s1q1CeWVrzNkKWuhYKa2-M5Beh-ug/view?usp=drivesdk
180016489,BERKAH SARI GENDIS,"JALAN LINTAS PANTAI TIMUR SUMATERA,RAJABASA BARU,KEC. MATARAM BARU, KABUPATEN LAMPUNG TIMUR",KABUPATEN LAMPUNG TIMUR,"SUMATERA BAJA INDONESIA INDAH, PT",,,Gendis,2026-05-06,https://drive.google.com/file/d/1VaOrmqZJRkVcAk941WZi-e2zGKlbRwhG/view?usp=drivesdk
180015641,"BIZMA JAYA, TB","JALAN TANJUNG REJO, NEGERI KATON, KABUPATEN PESAWARAN, LAMPUNG",KABUPATEN PESAWARAN,"TUNAS SURYA BUMINDO, PT",,,Bizman,2026-05-06,https://drive.google.com/file/d/1BrT2oyCn_0QVegb4q2Q7INY_8KQOzYET/view?usp=drivesdk
180012306,BAROKAH,"GG. ANTARA I NO. 3, SUKA JAWA, KEC. TJ. KARANG BAR., KOTA BANDAR LAMPUNG, LAMPUNG 35119",KOTA BANDAR LAMPUNG,KOPERASI KONSUMEN WARGA SEMEN GRESIK,"TUNAS SURYA BUMINDO, PT",,Barkah,2026-05-06,https://drive.google.com/file/d/1iQ-xWBq2ooqgsEjQ-4YurTNsRuAXhh37/view?usp=drivesdk
180016990,DOTCOM 2,"JL. MATARAM II, TALANG JAMBE, KEC. SUKARAMI, KOTA PALEMBANG, SUMATERA SELATAN 30961",KOTA PALEMBANG,"OKU MAJU PERKASA, PT",,,lukman,2026-05-06,https://drive.google.com/file/d/18KNlA2A3WFNoPX-RivER6e1qbDD5unja/view?usp=drivesdk
180016573,TIGA PUTRI,JL. KOL WAHAB SAROBU  LR. MARNAN 3 SEKARJAYA BATURAJA TIMUR,KABUPATEN OGAN KOMERING ULU,"SINAR ELORA ADIJAYA, PT",,,Toadmaster,2026-05-06,https://drive.google.com/file/d/19P_qoNU1coDxeTLIqrd1s8mD7aZq0RPk/view?usp=drivesdk
180016556,TIAN JAYA,"JL. SUKABANGUN II SOAK SIMPUR, SUKAJAYA, KEC. SUKARAMI, KOTA PALEMBANG, SUMATERA SELATAN 30961",KOTA PALEMBANG,"OKU MAJU PERKASA, PT",,,Tianlala,2026-05-06,https://drive.google.com/file/d/1hAa8-zPNizuG0JW797Em_94pntVRSHdZ/view?usp=drivesdk
